director
William A. Wellman
Jack Conway
Rasmus Breistein
Herbert Brenon
Alan Crosland
Alfred E. Green
Paul Sloane
Sam Taylor
F.W. Murnau
Howard Hawks
"Richard Rosson, Lewis Milestone"
Clarence Brown
Sam Taylor
Georg Wilhelm Pabst
Lewis Seiler
Clarence G. Badger
Arnold Fanck
Harry Edwards
A. Edward Sutherland
Frank Tuttle
Clarence Brown
Teinosuke Kinugasa
Alfred Hitchcock
Frank Tuttle
Guido Brignone
Rex Ingram
Victor Fleming
Rex Ingram
Vsevolod Pudovkin
Fritz Lang
"Boris Barnet, Fyodor Otsep"
Dallas M. Fitzgerald
Amo Bek-Nazaryan
Jean Renoir
Herbert Wilcox
James Cruze
Lev Kuleshov
Yakov Protazanov
Tod Browning
Robert Wiene
Victor Sjöström
Millard Webb
John Ford
"Grigoriy Kozintsev, Leonid Trauberg"
Malcolm St. Clair
Ernst Lubitsch
Gregory La Cava
George Fitzmaurice
D.W. Griffith
"William Beaudine, Tom McNamara"
Frank Capra
Henrik Galeen
F.W. Murnau
"Fred Niblo, Mauritz Stiller"
John Ford
Monta Bell
Harry Edwards
Cecil B. DeMille
Edward Sedgwick
Raoul Walsh
Henry King
Frank Urson
Henrik Galeen
John S. Robertson
"Ivan Pravov, Olga Preobrazhenskaya"
"Rowland V. Lee, Mauritz Stiller"
Alan Crosland
Gustav Ucicky
John S. Robertson
Alexandre Volkoff
Paul Leni
Frank Urson
"Frank Lloyd, Josef von Sternberg"
"James W. Horne, Buster Keaton"
Boris Barnet
Alfred Hitchcock
Millard Webb
Alfred Hitchcock
Sam Wood
Roy Del Ruth
F. Richard Jones
"Clyde Bruckman, Buster Keaton"
Dorothy Arzner
Jean Epstein
Aleksandr Medvedkin
Maurice Elvey
Mauritz Stiller
Victor Fleming
"Clarence G. Badger, Josef von Sternberg"
Alan Crosland
Raymond Bernard
"Ted Wilde, Harold Lloyd"
Cecil B. DeMille
"Vsevolod Pudovkin, Mikhail Doller"
Georg Wilhelm Pabst
Tod Browning
Frank Capra
"Edmund Goulding, John Gilbert"
Albert Parker
Monta Bell
Benjamin Christensen
William Nigh
Sam Taylor
Abel Gance
"Grigoriy Aleksandrov, Sergei M. Eisenstein"
Alan Crosland
Alfred Santell
Howard Hawks
Alfred Santell
Sergey Komarov
Sidney Franklin
Roscoe 'Fatty' Arbuckle
Alfred Hitchcock
Gregory La Cava
Frank Peregini
Frank Borzage
William K. Howard
"Anthony Asquith, A.V. Bramble"
Tod Browning
Edward Sedgwick
Edward Sedgwick
"Ernst Lubitsch, John M. Stahl"
Aleksandr Dovzhenko
F.W. Murnau
J.P. McGowan
George W. Hill
Harry Langdon
Hobart Henley
Abram Room
Jack Conway
Lewis Milestone
René Clair
Harry A. Pollard
"Josef von Sternberg, Arthur Rosson"
Tod Browning
John Ford
Alan Crosland
"William A. Wellman, Harry d'Abbadie d'Arrast"
W.S. Van Dyke
Curtis Bernhardt
"Minwei Li, Hou Yao"
Georg Wilhelm Pabst
William Nigh
D.W. Griffith
William A. Wellman
Jack Conway
Georg Wilhelm Pabst
"Edward Sedgwick, Buster Keaton"
Robert Z. Leonard
Alfred Hitchcock
Jean Epstein
Charles Chaplin
"George W. Hill, Clarence Brown"
René Clair
Victor Sjöström
Josef von Sternberg
Boris Barnet
Nikoloz Shengelaia
Alfred Hitchcock
Howard Hawks
Gregory La Cava
F.W. Murnau
"Merian C. Cooper, Lothar Mendes"
John Ford
William Nigh
Lewis Milestone
William Dieterle
Howard Hawks
John Ford
Joe May
Maurice Elvey
Teinosuke Kinugasa
Robert Z. Leonard
Josef von Sternberg
Herbert Brenon
Bryan Foy
"George Fitzmaurice, Frank Lloyd"
Pál Fejös
Jean Grémillon
Paul Leni
Frank Capra
James Cruze
John Ford
Ewald André Dupont
Fred Niblo
Harry Beaumont
Carl Theodor Dreyer
King Vidor
Vsevolod Pudovkin
Frank Capra
Lewis Milestone
Raoul Walsh
John Ford
Lucien Hubbard
Raoul Walsh
Franz Osten
King Vidor
Lloyd Bacon
Jack Conway
Ted Wilde
Fritz Lang
"Charles Reisner, Buster Keaton"
Frank Borzage
"Frank Capra, Irvin Willat"
"Sam Taylor, Lewis Milestone"
Frank Capra
Jean Renoir
Clarence Brown
Anthony Asquith
Roy William Neill
Victor Fleming
Frank Lloyd
Erich von Stroheim
Tod Browning
Jack Conway
"W.S. Van Dyke, Robert J. Flaherty"
Victor Sjöström
Clarence Brown
Fyodor Otsep
Aleksandr Dovzhenko
Florián Rey
Roland West
Rouben Mamoulian
Marcel L'Herbier
Aleksandr Dovzhenko
Joe May
Ewald André Dupont
Irving Cummings
Gregory La Cava
John Ford
Alfred Hitchcock
Pál Fejös
Mervyn LeRoy
Harry Beaumont
F. Richard Jones
"Malcolm St. Clair, Frank Tuttle"
"Alberto Cavalcanti, Henry Wulschleger"
"Robert Florey, Joseph Santley"
Wesley Ruggles
Sam Taylor
Yasujirô Ozu
"John Cromwell, A. Edward Sutherland"
Lothar Mendes
William Nigh
Sidney Franklin
Alfred E. Green
Frank Lloyd
James Cruze
Cecil B. DeMille
Gustav Machatý
Ernst Lubitsch
Edwin Carewe
Frank Capra
George W. Hill
Castleton Knight
Fritz Lang
Paul Czinner
Edgar Selwyn
Millard Webb
Cecil B. DeMille
Roy Del Ruth
Ilya Trauberg
Reginald Barker
"James Cruze, Erich von Stroheim"
Frank Tuttle
William J. Cowen
King Vidor
William Wyler
Paul L. Stein
Howard Higgin
Robert Florey
"Charles Reisner, Christy Cabanne"
Benjamin Christensen
Robert Land
William C. de Mille
Irving Cummings
Arthur Robison
Allan Dwan
Sam Wood
Jacques Feyder
George Schnéevoigt
Pál Fejös
Paul Leni
Sidney Franklin
Jean de Limur
Dorothy Davenport
George Fitzmaurice
Ernst Lubitsch
William Wyler
Frank Borzage
Lionel Barrymore
Alfred Hitchcock
Robert Z. Leonard
Robert Z. Leonard
"Robert Siodmak, Edgar G. Ulmer"
Erle C. Kenton
Henri Fescourt
Phil Jutzi
Rowland V. Lee
"Lucien Hubbard, Benjamin Christensen"
Clarence Brown
Lewis Milestone
"Michael Curtiz, Darryl F. Zanuck"
Jacques Feyder
"Grigoriy Kozintsev, Leonid Trauberg"
Fridrikh Ermler
Alan Crosland
Jack Conway
W.S. Van Dyke
Ewald André Dupont
Franz Osten
Abram Room
"Erich von Stroheim, Richard Boleslawski"
Howard Higgin
Victor Schertzinger
Luther Reed
Frank Borzage
Charles Reisner
Mario Camerini
John Francis Dillon
"David Butler, John Ford"
A. Edward Sutherland
Reginald Barker
William Wyler
"Harry A. Pollard, Arch Heath"
John G. Adolfi
H.P. Carver
John S. Robertson
Sam Wood
"Walter Jerven, Franz Osten"
Harry Beaumont
"Edward Sedgwick, Buster Keaton"
Alexander Korda
"Grigoriy Aleksandrov, Sergei M. Eisenstein"
Wesley Ruggles
Frank Tuttle
David Butler
Georg Wilhelm Pabst
Sam Taylor
Marshall Neilan
E. Mason Hopper
Frank Borzage
Tod Browning
Josef von Sternberg
Allan Dwan
