imdb_title_id,companies
15881,Metro-Goldwyn Pictures Corporation
15883,Films Albatros
15909,Joseph M. Schenck Productions
15935,Film Andes S.A.
16004,Warner Bros.
16005,Metro-Goldwyn Pictures Corporation
16006,Norma Talmadge Film Corporation
16013,Fox Film Corporation
16023,Cosmopolitan Productions
16028,Mary Pickford Company
16029,Fox Film Corporation
16039,First National Pictures
16104,An Erich von Stroheim Production
16123,Metro-Goldwyn Pictures Corporation
16142,Metro-Goldwyn-Mayer (MGM)
16185,Bando Tsumasaburo Production
16201,B.P. Schulberg Productions
16205,Paramount Pictures
16220,Universal Pictures
16226,B.P. Schulberg Productions
16230,Bavaria Film
16232,Films A. Legrand
16240,Bombay Talkies Films
16241,Metro-Goldwyn Pictures Corporation
16258,Metro-Goldwyn Pictures Corporation
16276,Mrs. Wallace Reid Productions
16288,Fox Film Corporation
16294,DeMille Pictures Corporation
16308,Paramount Pictures
16309,Metro-Goldwyn-Mayer (MGM)
16310,Academy Photoplays
16332,Buster Keaton Productions
16338,A to X Productions
16377,Inspiration Pictures
16392,H. K. Breslauer-Film
16394,Paramount Pictures
16395,The Samuel Goldwyn Company
16461,William S. Hart Productions
16473,Metro-Goldwyn-Mayer (MGM)
16480,Paramount Pictures
16481,Universum Film (UFA)
16491,Mundus-Film
16493,Georges Loureau
16544,Chadwick Pictures Corporation
16545,Ryan Brothers Productions
16548,Paramount Pictures
16559,Mezhrabpom-Rus
16560,Cosmopolitan Productions
16563,Universum Film (UFA)
16627,Metro-Goldwyn-Mayer (MGM)
16629,Roland West Productions
16630,Buster Keaton Productions
16634,Paramount Pictures
16640,Chadwick Pictures Corporation
16643,Warner Bros.
16646,Cosmopolitan Productions
16654,Elton Corporation
16655,Metro-Goldwyn-Mayer (MGM)
16664,Fox Film Corporation
16669,Metro-Goldwyn-Mayer (MGM)
16672,Metro-Goldwyn-Mayer (MGM)
16690,Metro-Goldwyn-Mayer (MGM)
16691,
16762,Paramount Pictures
16804,Warner Bros.
16822,John McCormick Productions
16827,DeMille Pictures Corporation
16832,Metro-Goldwyn-Mayer (MGM)
16847,Universum Film (UFA)
16854,Fox Film Corporation
16871,Paramount Pictures
16884,Metro-Goldwyn-Mayer (MGM)
16895,The Harold Lloyd Corporation
16914,Neumann-Filmproduktion
16939,Lew Seiler Productions
16947,Paramount Pictures
16953,Berg- und Sportfilm
16971,Mack Sennett Comedies
17004,Paramount Pictures
17028,Famous Players-Lasky Corporation
17029,Norma Talmadge Film Corporation
17048,Kinugasa Productions
17075,Gainsborough Pictures
17082,Famous Players-Lasky Corporation
17096,Fert Studios
17103,Metro-Goldwyn Pictures Corporation
17119,Paramount Pictures
17120,Metro-Goldwyn Pictures Corporation
17128,Mezhrabpom-Rus
17136,Universum Film (UFA)
17159,Mezhrabpom-Rus
17184,Dallas M. Fitzgerald Productions
17195,Armenkino
17196,Les Films Jean Renoir
17198,British National Films
17226,Paramount Pictures
17271,Goskino
17293,Mezhrabpom-Rus
17329,Metro-Goldwyn-Mayer (MGM)
17338,Pan-Film
