writer
Alexander Black
Charles Tait
"Robert W. Chambers, Robert W. Chambers"
"Clyde Fitch, Dorothy Farnum"
"Gertrude Atherton, Frank Lloyd"
"John Grey, Laura E. Richards"
Lewis H. Moomaw
"Cyrus Wood, Edmund Goulding"
"Charles Major, Waldemar Young"
"Gertrude Chase, Josephine Lovett"
"Augustus Thomas, Frances Hodgson Burnett"
Pierre Lestringuez
"Frank Heller, Thea von Harbou"
"Lajos Biró, Agnes Christine Johnston"
"Sam Taylor, Ted Wilde"
"Leonid Andreyev, Carey Wilson"
Hanns Kräly
"Sam Taylor, John Grey"
"Pierre Dumarchais, Joris-Karl Huysmans"
"Charles Kenyon, John Russell"
"D.W. Griffith, Geoffrey Moss"
"Paul Leicester Ford, Lillie Hayward"
"Alexandre Dumas, Kenelm Foss"
Carl Mayer
"Frank Tuttle, Sidney R. Kent"
"Paul Bern, Lothar Schmidt"
"Herman Bang, Thea von Harbou"
"Booth Tarkington, Booth Tarkington"
"Clyde Bruckman, Joseph A. Mitchell"
"Nikolay Aseev, Vsevolod Pudovkin"
Thea von Harbou
"Fritz Lang, Thea von Harbou"
"Willis Goldbeck, Paul Morand"
"Louis Nerz, Maurice Renard"
"Aleksei Fajko, Fyodor Otsep"
René Clair
"J.M. Barrie, Willis Goldbeck"
"Fred Niblo, Bess Meredyth"
"George Eliot, Will M. Ritchey"
"Rafael Sabatini, J.G. Hawks"
"Rudolph Besier, May Edginton"
"Jean C. Havez, Joseph A. Mitchell"
"Grigoriy Aleksandrov, Sergei M. Eisenstein"
"Lotta Woods, Douglas Fairbanks"
"Alfred Hitchcock, Michael Morton"
"Joseph Hergesheimer, King Vidor"
"Rachel Crothers, Carey Wilson"
"Charles Major, Luther Reed"

"Laurence Stallings, Harry Behn"
"Oscar Micheaux, Oscar Micheaux"
"Elmer Harris, Mary O'Hara"
Nina Agadzhanova
"Kenneth B. Clarke, W. Somerset Maugham"
Charles Logue
"Martin Brown, Anthony Coldeway"
"Kate Prichard, Hesketh Prichard"
"Carl Theodor Dreyer, Svend Rindom"
"Alexander Pushkin, George Marion Jr."
"René Clair, Walter Schlee"
"Marcel L'Herbier, Luigi Pirandello"
"Sam Taylor, Ted Wilde"
"Hugo Bettauer, F.H. Lyon"
Ryunosuke Shimizu
"Jacob Breda Bull, Carl Theodor Dreyer"
"Buster Keaton, Lex Neal"
Charles Chaplin
"Rex Beach, Dwinelle Benthall"
"June Mathis, Erich von Stroheim"
"Frédéric Boutet, Jacques Feyder"
"Ludwig Fulda, Hanns Kräly"
"Pedro Sienna, Hugo Silva"
"Oscar Wilde, Julien Josephson"
"Adela Rogers St. Johns, Alice D.G. Miller"
"Martin Brown, Frances Marion"
"Owen Davis, Frances Marion"
"Laurence Eyre, Joseph Farnham"
"Mary Pickford, Hope Loring"
"William M. Conselman, William M. Conselman"
"Arthur Conan Doyle, Marion Fairfax"
"Erich von Stroheim, Benjamin Glazer"
"Roland West, Crane Wilbur"
"Tod Browning, Waldemar Young"
Rokuhei Susukita
"F. Oakley Crawford, Lois Hutchinson"
"Paul Armstrong, Keene Thompson"
Gaston Leroux
"Frederica Sagor Maas, Percy Marks"
"Oliver Sandys, Eliot Stannard"
"Jacques Feyder, Jules Renard"
"Edwin Arnold, Niranjan Pal"
"Adela Rogers St. Johns, Alice D.G. Miller"
"Willard Mack, Robert E. Hopkins"
"Adela Rogers St. Johns, Dorothy Arzner"
"Zane Grey, Edfrid A. Bingham"
"Beulah Marie Dix, Howard Hawks"
"Dorothy Donnelly, Forrest Halsey"
"Eddie Dowling, Edmund Goulding"
Josef von Sternberg
"Roi Cooper Megrue, Clyde Bruckman"
"H. Rider Haggard, H. Rider Haggard"
"Martin Brown, Josephine Lovett"
"Hugo Bettauer, Ida Jenbach"
"Frank R. Adams, Forrest Halsey"
"Frances Marion, Olive Higgins Prouty"
"Hal G. Evarts, C. Gardner Sullivan"
"Clarence Aaron 'Tod' Robbins, Waldemar Young"
"Ethel Doherty, Zane Grey"
"Felix Hollaender, Ewald André Dupont"
"Jacques Feyder, Françoise Rosay"
René Clair
"L. Frank Baum, Frank Joslyn Baum"
"Bennett Cohen, Cliff Hill"
