imdb_title_id,genre
16104,"Drama, Romance"
16123,"Comedy, Horror, Mystery"
16142,Drama
16185,"Action, Adventure"
16201,"Crime, Drama, Romance"
16205,"Comedy, Crime, Romance"
16220,Horror
16226,"Comedy, Romance, Sport"
16230,"Drama, Romance"
16232,Drama
16240,Drama
16241,"Comedy, Drama"
16258,"Drama, Comedy"
16276,"Biography, Drama, Romance"
16288,"Action, Drama, Western"
16294,"Drama, Fantasy, Romance"
16308,Comedy
16309,"Comedy, Drama"
16310,Drama
16332,"Comedy, Romance"
16338,"Adventure, Fantasy, Sci-Fi"
16377,Drama
16392,Drama
16394,Comedy
16395,Drama
16461,Western
16473,"Crime, Drama, Romance"
16480,Western
16481,"Crime, Drama, Romance"
16491,"Drama, Mystery, Romance"
16493,"Comedy, Drama, Fantasy"
16544,"Comedy, Family, Fantasy"
16545,"Adventure, Drama, Romance"
16548,"Comedy, Drama"
16559,Comedy
16560,"Action, Comedy, Drama"
16563,Drama
16627,"Drama, Romance"
16629,"Mystery, Thriller"
16630,"Action, Comedy, Romance"
16634,"Action, Adventure, Drama"
16640,"Crime, Drama, Horror"
16643,"Comedy, War, Drama"
16646,"Comedy, Romance"
16654,"Adventure, Action"
16655,"Crime, Drama, Romance"
16664,"Action, Drama"
16669,"Drama, Romance"
16672,"Comedy, Romance"
16690,"Action, Drama, Romance"
16691,"Drama, Romance"
16762,Drama
16804,"Adventure, Romance"
16822,"Comedy, Romance"
16827,"Comedy, Romance"
16832,"Comedy, Romance"
16847,"Drama, Fantasy, Horror"
16854,Comedy
16871,Comedy
16884,"Drama, Romance"
16895,"Action, Comedy, Romance"
16914,Drama
16939,Western
16947,"Action, Comedy, War"
16953,Drama
16971,Comedy
17004,"Adventure, Comedy, Romance"
17028,"Comedy, Romance"
17029,Comedy
17048,"Drama, Thriller"
17075,"Crime, Drama, Mystery"
17082,"Comedy, Drama, Romance"
17096,"Action, Drama, Fantasy"
17103,"Drama, Fantasy, Horror"
17119,Comedy
17120,"Drama, War"
17128,Drama
17136,"Drama, Sci-Fi"
17159,"Adventure, Comedy, Crime"
17184,Comedy
17195,Drama
17196,"Drama, Romance"
17198,"Biography, Drama, History"
17226,"Drama, History"
17271,Drama
17293,Comedy
17329,Drama
17338,Comedy
17350,Drama
17354,"Action, Adventure, Fantasy"
17374,"Romance, Drama"
17378,Drama
17382,"Comedy, Drama"
17409,Comedy
17410,Comedy
17416,"Adventure, Drama, Romance"
17419,"Drama, Romance"
17423,Drama
17437,Comedy
17438,"Drama, Horror"
17448,Drama
17449,"Drama, Romance"
17463,"Romance, Western"
17480,"Drama, Romance"
17483,"Adventure, Comedy, Romance"
17519,"Drama, Romance"
17534,"Drama, Romance, Sport"
17540,"Comedy, Drama, War"
17567,"Drama, Romance, Western"
17619,"Drama, Romance"
17621,"Drama, Fantasy, Horror"
17632,"Drama, Romance"
17653,Drama
17662,"Drama, Romance, War"
17667,"Adventure, Drama, History"
17726,Drama
17735,"Drama, Romance"
17736,"Biography, Drama"
17739,"Comedy, Horror, Mystery"
17750,"Comedy, Crime, Drama"
17751,"Drama, Romance"
17765,"Comedy, Drama, Sport"
17809,"Comedy, Drama, Romance"
17825,"Adventure, Drama, Thriller"
17832,"Drama, Sport"
17843,"Romance, Thriller"
17860,Comedy
17886,"Comedy, Drama"
17918,"Adventure, Romance"
17925,"Action, Adventure, Comedy"
17928,"Comedy, Romance"
17938,"Drama, Romance"
17961,"Comedy, Drama"
17998,"Drama, Romance"
18014,"Drama, War"
18016,"Drama, Romance"
18033,"Comedy, Romance"
18037,"Drama, Music, Musical"
18045,"Drama, Fantasy, War"
18051,"Comedy, Drama, Family"
18054,"Biography, Drama, History"
18066,Drama
18087,"Drama, Romance"
18097,Horror
18102,Comedy
18107,"Drama, Romance"
18113,Drama
18138,Drama
18166,"Drama, Romance"
18179,"Drama, Romance"
18183,"Comedy, Romance"
18192,"Biography, Drama, History"
18217,"Drama, History"
18218,"Drama, History, Romance"
18235,"Comedy, Romance"
18247,"Comedy, Romance"
18253,"Drama, Romance, Sport"
18268,Comedy
18297,"Comedy, Drama, Romance"
18311,"Comedy, Romance"
18328,"Drama, Romance, Sport"
18351,Comedy
18362,"Crime, Drama, Romance"
18379,"Drama, Romance"
18389,Drama
18392,"Drama, Romance"
18397,"Crime, Drama"
18413,"Comedy, Sport"
18440,Comedy
18451,"Drama, Romance"
18453,Thriller
18455,"Drama, Romance"
18464,"Action, Adventure"
18471,"Comedy, Drama, Romance"
18484,"Comedy, Drama"
18487,"Comedy, Drama"
18505,"Comedy, Drama"
18513,Drama
18515,"Adventure, Comedy, Romance"
18523,Comedy
18524,"Drama, History"
18526,"Crime, Drama, Film-Noir"
18528,"Drama, Horror, Romance"
18530,"Comedy, Drama"
18566,"History, Romance"
18578,"Drama, Romance, War"
18579,"Drama, History, War"
18588,Drama
18600,"Drama, Romance"
18615,"Drama, Romance"
18618,"Drama, Romance"
18678,Comedy
18684,"Adventure, Drama"
18722,Comedy
18737,"Crime, Drama, Romance"
18742,"Comedy, Drama, Family"
18749,"Comedy, Romance"
18756,Comedy
18770,Horror
18773,"Comedy, Romance"
18795,Drama
18826,Comedy
18836,"Drama, Romance"
18839,"Crime, Drama, Film-Noir"
18841,Comedy
18862,"Drama, Romance, War"
18876,"Comedy, Drama, Romance"
18879,"Drama, Romance"
18882,Comedy
18907,Drama
18908,"Adventure, Drama, Romance"
18909,"Drama, War"
18910,Drama
18927,"Comedy, Drama"
18935,Drama
18937,"Action, Adventure, Comedy"
18972,"Drama, Romance, Thriller"
18990,"Drama, Romance, War"
18996,Sci-Fi
19043,Drama
19067,"Comedy, Drama, Romance"
19071,"Drama, History, Romance"
19074,Drama
19096,"Crime, Drama, Music"
19098,"Drama, Romance, War"
19109,"Comedy, Drama, Romance"
19127,Drama
19130,"Drama, Horror, Mystery"
19151,"Comedy, Romance"
19152,Drama
19182,Drama
19186,Drama
19195,"Drama, Romance"
19237,Drama
19254,"Biography, Drama, History"
19258,"Comedy, Drama, Romance"
19286,"Drama, War"
19290,Drama
19304,"Crime, Drama, Film-Noir"
19312,"Drama, Romance"
19325,"Comedy, Drama"
19335,Drama
19344,Drama
19374,"Drama, History, Romance"
19379,"Comedy, Romance"
19388,"Musical, Drama"
19400,"Comedy, Romance, Sport"
19412,"Action, Comedy, Family"
19415,"Romance, Thriller"
19421,"Action, Comedy, Drama"
19429,Drama
19434,"Action, Adventure, Drama"
19451,"Drama, Romance"
19462,"Comedy, Drama, Romance"
19480,Comedy
19489,"Action, Adventure, Drama"
19509,"Drama, Romance"
19532,"Action, Adventure, History"
19553,Drama
19557,"Drama, Romance"
19558,Drama
19563,"Drama, Mystery"
19571,"Crime, Drama"
19574,"Drama, Romance"
19585,"Drama, Romance, Thriller"
19591,Drama
19609,Drama
19611,"Drama, Fantasy"
19629,Drama
19630,Crime
19644,"Drama, Musical"
19646,"Drama, Romance"
19649,"Drama, War"
19655,"Crime, Drama, Romance"
19658,Drama
19684,Mystery
19690,"Comedy, Crime, Mystery"
19699,"Adventure, Drama"
19702,"Crime, Thriller"
19725,"Crime, Music, Romance"
19726,"Drama, Musical"
19729,"Drama, Musical, Romance"
19735,"Drama, Mystery, Thriller"
19745,"Crime, Drama, Mystery"
19746,"Adventure, Drama"
19777,"Comedy, Musical"
19785,Drama
19788,"Drama, Romance"
19796,Comedy
19798,"Drama, Musical, Romance"
19800,Drama
19811,"Adventure, Drama, Romance"
19815,"Music, Romance, War"
19823,"Biography, Drama, History"
19824,"Drama, History, Romance"
19839,"Comedy, Drama, Romance"
19843,Drama
19850,"Drama, Romance"
19852,"Drama, Romance"
19856,Drama
19884,"Action, Adventure, Romance"
19886,"Adventure, Drama, Romance"
19889,"Crime, Drama"
19901,"Comedy, Drama, Romance"
19909,Drama
19929,Comedy
19933,"Comedy, Drama, Musical"
19935,Drama
19936,"Comedy, Musical"
19939,Drama
19945,"Action, Romance, Western"
19946,"Drama, Musical, Romance"
19949,"Drama, Mystery"
19957,"Drama, Romance"
19959,"Drama, Musical"
19976,"Action, Crime, Drama"
19979,Drama
19983,"Crime, Drama, Romance"
19992,"Drama, Mystery"
19993,"Comedy, Music"
20004,"Comedy, Crime, Drama"
20011,Drama
20014,Comedy
20018,"Action, Adventure, Romance"
20025,Drama
20030,"Adventure, Drama, History"
20034,"Comedy, Musical, Romance"
20062,"Romance, Drama"
20075,"Drama, Romance"
20078,"Drama, Horror, Romance"
20080,"Horror, Mystery, Thriller"
20081,"Comedy, Drama"
20092,Drama
20099,Drama
20103,"Drama, Mystery, Thriller"
20112,"Comedy, Musical, Romance"
20114,Comedy
20122,"Drama, Romance"
20126,Drama
20142,"Drama, Romance"
20143,"Drama, Musical, Romance"
20144,Drama
20163,"Comedy, Drama, Romance"
20166,"Drama, Romance"
20182,Adventure
20193,Drama
20197,Thriller
20198,"Adventure, Romance, Sci-Fi"
20210,"Comedy, Drama"
20217,"Crime, Drama, Music"
20223,"Drama, War"
20228,Comedy
20230,"Drama, History"
20232,Drama
20238,"Musical, Romance"
20247,"Drama, Comedy"
20253,Drama
20269,"Drama, Crime"
20286,"Adventure, Drama, Romance"
20293,Drama
20298,Drama
20305,"Crime, Drama, Thriller"
20320,"Western, Adventure, Drama"
20332,"Adventure, Music, Romance"
20335,"Drama, Romance"
